id,name,genre,artists,album,popularity,duration_ms,explicit,Clusters,name_lower
4TOYSDT4aaSoQKbxshBYbI,the way you make me feel - acoustic,acoustic,"Matt Johnson, John Adams",The Way You Make Me Feel (Acoustic),30,157037,False,1,the way you make me feel - acoustic
0r5j1OxaqLkhxJOgA0kstj,acoustic,acoustic,XtraVert,Acoustic,0,153012,True,1,acoustic
4l06WS1mNsV6atdeY9y54L,never comin' home - live acoustic,acoustic,Bailey Zimmerman,swipe left,0,198958,False,1,never comin' home - live acoustic
5lT24KdYcJXIEmQGi6DsGy,remember - acoustic,acoustic,Thomas Daniel,Remember (Acoustic),25,171710,False,1,remember - acoustic
24nJAVWOZGmoQVGhaZPqBT,acoustic,acoustic,Mark S.D.Ray,"Neo Soul Guitar: Pop Music Soul Guitar, Instrumental Guitar Solo",0,188750,False,1,acoustic
6QPqf4WqwZkxM68bGipzvP,young blood - acoustic,acoustic,Noah Kahan,Young Blood (Acoustic),56,200613,False,0,young blood - acoustic
0TKCxM7SDITtm6joUNUU9x,bubbly,acoustic,Acoustic Guitar Collective,Bubbly,14,159389,False,1,bubbly
6JZcfM5vr5O0KeGIAWiydu,afrobeat 2023 mixtape,afrobeat,Dj funkybee,Afrobeat 2023 Mixtape,28,3601658,True,2,afrobeat 2023 mixtape
0S5qvbTPpWNXjnV8Uf4VZo,afrobeat heatwave,afrobeat,"Lofi Afrobeats, Dj Discoteca, AfrooBeatZ, Dj AfroBeats, Afro Beat Music",Exotic Afro Discoteca - Jungle Boogie Fiesta,2,264626,False,1,afrobeat heatwave
2kaH2Z8ezDUKf6fNw250rZ,unavailable (feat. musa keys),afrobeat,"Davido, Musa Keys",Timeless,68,169911,True,0,unavailable (feat. musa keys)
7EWRaOt6aJsuRfTwd2kmeQ,afrobeat,afrobeat,Gbenga,Let's Give Thanks,21,322856,False,3,afrobeat
6DdtXGnIE31tW37mLzy7WY,afrobeat chaka chaka,afrobeat,Giuliano Nicolis,AfroBeat Chaka Chaka,30,180652,False,1,afrobeat chaka chaka
5ZtK8XAVnoaGdBXZWCEVCY,lonely at the top,afrobeat,Asake,Work Of Art,69,157714,False,0,lonely at the top
6idDCtkAr9EdGEr5yHyp09,afrobeat,afrobeat,FASSounds,Summer Tunes vol. 1,8,110400,False,1,afrobeat
16y5C7L7vgDUSNCyObG75L,afrobeat ki masti,afrobeat,Karl Lion,Afrobeat Ki Masti,25,205090,False,1,afrobeat ki masti
3IQT2MM49GkXfHF9eemaw5,soweto,afrobeat,"Victony, Tempoe",Outlaw,69,148000,True,0,soweto
2cSC2pA05BPYJNMgU95okZ,afrobeat,afrobeat,Jujuba,Jujuba,3,453493,False,3,afrobeat
2WRQhgXftM1G0NIXr7jNmc,afrobeats mix flight oso 149,afrobeat,Osocity,Afrobeats Mix Flight OSO 149,26,2372414,True,2,afrobeats mix flight oso 149
0zVk3uuV9UhxAt48F3OL12,holy ghost,afrobeat,Omah Lay,Holy Ghost,68,186153,False,0,holy ghost
1rPUoNyCXVF2FOFHN0ceh3,afrobeat,afrobeat,Entspannungsmusik Meer,"Einfach entspannen, Vol. 2",4,176519,False,1,afrobeat
1iBWjQ9af9NnUd5xnQDB3k,charm,afrobeat,Rema,Rave & Roses Ultra,65,204750,True,0,charm
7F8XEYR37oFDM826xheWyE,afrobeat,afrobeat,Bür Gür,Have You Lost Your Faith In God,0,317250,False,3,afrobeat
2fjC5oRlCcPDvKxDjstUbt,afrobeat renaissance - alternate drum mix,afrobeat,"Robert Glasper, Derrick Hodge",Run The World: Season 1 (Music from the STARZ Original Series),20,53671,False,1,afrobeat renaissance - alternate drum mix
46gfN72BxmLvACx6Pve4XU,dull,afrobeat,Asake,Mr. Money With The Vibe,62,100173,False,0,dull
5VE0wgk2gybTequLg1m4Zs,afrobeat,afrobeat,AfroBeats,Afrobeat,1,214368,False,1,afrobeat
5WTRTxIyiSrCtKYK8eLerN,afrobeats 2023,afrobeat,Paul CleverLee,Afrobeats 2023,32,224501,True,1,afrobeats 2023
1DA2ADZs6O28y2rmdmpekw,2 sugar (feat. ayra starr),afrobeat,"Wizkid, Ayra Starr","More Love, Less Ego",57,187906,False,0,2 sugar (feat. ayra starr)
1aKDHWEZ8djoq99TSE1In2,afrobeat,afrobeat,Negus Beauvoir,Afrobeat,0,189120,False,1,afrobeat
0XzY9p6zweueIjyNICwsgy,afrobeat - baile do japão,afrobeat,"MC Neneco, DJ Netto, MC Chara, MC GIBI",Afrobeat - Baile do Japão,0,160208,False,1,afrobeat - baile do japão
4cpxSBb2TRx8WJhQM1Jdpk,stubborn (with asake),afrobeat,"Victony, Asake",Stubborn (with Asake),67,176333,False,0,stubborn (with asake)
5E1bwFQDYXIHUhBqUXJXZb,afrobeat,afrobeat,Royalty Free Music Background,Afrobeat,0,124799,False,1,afrobeat
0nWP3geWfIWT2U1F8TEa4V,afrobeat fiesta,afrobeat,"Lofi Afrobeats, Dj Discoteca, AfroBeatsZ",Afro Beach Party - Chill Out Music for Afro Party & Discoteca,17,198430,False,1,afrobeat fiesta
4E8EciYYzTKF4REO51XQiS,dnd,afrobeat,Rema,RAVAGE,56,166000,False,0,dnd
0SFu2Ngw6OC9SR8dxYUBgd,afrobeat,afrobeat,African Tribal Orchestra,"Sounds Like Africa (African Beats, Drums, Sounds and Music)",3,176519,False,1,afrobeat
2jzZgXpQqA8T9KhdFjdBgA,afrobeat si fueras tu - instrumental,afrobeat,Jordan Films RD,Instruméntal Jordan Films,20,188003,False,1,afrobeat si fueras tu - instrumental
0x3sDnom0itB72oEVrRE7v,ololufe (feat. wande coal),afrobeat,"Wizkid, Wande Coal",S2,55,210194,False,0,ololufe (feat. wande coal)
4EGWRcWnB3uFjebmmscNzg,afrobeat,afrobeat,Oneness Of Juju,African Rhythms,1,237260,False,1,afrobeat
6WavyUNdnJk9SRW7ko9ack,reason (feat. russ),afrobeat,"Asake, Russ",Mr. Money With The Vibe,53,131764,False,0,reason (feat. russ)
6lH52tnoBYPivmIQKGXTgl,afrobeat,afrobeat,Ruankkj,Afrobeat,11,144172,True,1,afrobeat
7xF6SSfTW1smhbyAlJ6ecd,afrobeat - radio mix,afrobeat,Simon Le Grec,Afrobeat,0,229403,False,1,afrobeat - radio mix
0Q1bMs3xLQiDEeaneehdxv,remember,afrobeat,Asake,Work Of Art,63,182142,False,0,remember
71JDBR0qGP77kVSiYTDMlX,afrobeat,afrobeat,"DJ Pasta, Brucaliff",Dancefloor Jams,2,292866,False,3,afrobeat
6Fw7kOKInk90eGVrn5ll9t,afrobeat - club mix,afrobeat,Simon Le Grec,Afrobeat,0,363227,False,3,afrobeat - club mix
2Iv3GHM3xFKIPbYSnhJAXO,okay,afrobeat,Adekunle Gold,"Afro Pop, Vol. 1",54,186299,True,0,okay
0dGjhqDVHM3EynOae561ZC,afrobeat,afrobeat,Marlon Dasoul,Mozart at the Club,0,175229,False,1,afrobeat
3vgHcLsJHvQclAhdcGtNFe,afrobeat - playlist mix,afrobeat,Simon Le Grec,Afrobeat,0,169835,False,1,afrobeat - playlist mix
3YPtN5X0HxIzeRCHxfoXTy,mogbe,afrobeat,Asake,Work Of Art,57,178947,False,0,mogbe
6ZZ4zoPdivz4JOUjkqpRNp,afrobeat,afrobeat,Diomobeats,Afrobeat,0,194867,False,1,afrobeat
4EPK9EsXU63lnRPbZwH1LV,afrobeat - dub mix,afrobeat,Simon Le Grec,Afrobeat,0,365853,False,3,afrobeat - dub mix
5V9XFfvCG4WP5ZdISOLvaF,sability,afrobeat,Ayra Starr,Sability,57,166558,False,0,sability
0pLp0NaGBIh2N2tew3FVyN,afrobeat,afrobeat,African Tribal Orchestra,Highlights of African Tribal Orchestra,0,176519,False,1,afrobeat
5WwQgwivZOfjHHOdZXnDjR,feel (afrobeats mix),afrobeat,"Dualbox, Aracy Carvalho",Feel (Afrobeats Mix),38,147878,False,0,feel (afrobeats mix)
3ceZIRUX8m8qFFcnEDkj2K,holiday,afrobeat,Rema,Rave & Roses Ultra,52,159100,False,0,holiday
0SC8vPETc4K5bE8kuATCli,afrobeat,afrobeat,"Luigi Vitale, Gianpaolo Rinaldi, Luca Colussi, Daniele D'Agaro, Mirko Cisilino, Denis Biason",KALIMBATA,0,448464,False,3,afrobeat
5CwdYVhbdeG3wycY3ukvM4,for my love - afrobeats mix,afrobeat,Don & Gene,For My Love (Afrobeats Mix),39,132458,False,0,for my love - afrobeats mix
6R3zZakACTkEkqlQKmnnOB,good vibes infinitititi - african lofi,afrobeat,Lofi Afrobeats,Good Vibes Infinitititi - African Lofi,47,144000,False,0,good vibes infinitititi - african lofi
0qmQoGGBl8kH9YDfBJIWmQ,afrobeat,afrobeat,Dani Le Cross,4 DJ: UnDiscovered Weekly #17,0,300000,False,3,afrobeat
3MCIbI6HEtZBqspo8OVLiJ,alt-rock,alt-rock,Eudo 97,Demo,0,137622,True,1,alt-rock
1gewemPOUilb21s7CfMS55,bartender song (sittin' at a bar) - alt/rock mix,alt-rock,Rehab,Graffiti The World,57,229040,True,0,bartender song (sittin' at a bar) - alt/rock mix
1o22EcqsCANhwYdaNOSdwS,tessellate,alt-rock,alt-J,An Awesome Wave,52,181400,False,0,tessellate
4KENElVbH0KcipXaaqTeT8,"russian alt rock (car wash with papa) - ""приключение на автомойке""",alt-rock,The Incomplete Orchestra,TIO's Kid's Jams (Car Wash EP),0,165119,False,1,"russian alt rock (car wash with papa) - ""приключение на автомойке"""
0pCTr2E9CtulIwNprituKi,ms,alt-rock,alt-J,An Awesome Wave,45,238746,False,0,ms
6XfI75jPN59vD2uF625ayx,under one roof alt rock,alt-rock,Jack Curtis Dubowsky,Under One Roof (Original Motion Picture Soundtrack Expanded Edition),0,65336,False,1,under one roof alt rock
6BVBkKpZK09NmifUMZqj1z,every other freckle,alt-rock,alt-J,This Is All Yours,47,216004,False,0,every other freckle
48H4RqPLjLB5MR3Cc1AdWv,cry of the lonely (psalm 10) - lofi alt rock mix,alt-rock,Psalms Remixed,Cry of the Lonely (Psalm 10) [LOFI Alt Rock Mix],0,195399,False,1,cry of the lonely (psalm 10) - lofi alt rock mix
24DMpa4roYV1VkykwCSNMG,panoramic view,alt-rock,AWOLNATION,Panoramic View,50,232733,False,0,panoramic view
3Sm5TYFgMXyXwgAcY2xweX,so into you,alt-rock,Atlanta Rhythm Section,A Rock And Roll Alternative,56,260866,False,0,so into you
3i4ColsuZEvjeLz63m0jPt,u&me,alt-rock,alt-J,The Dream,43,198840,False,0,u&me
6azx6iv2R1DhwovSp4xd5v,rock steady,alt-rock,"Alton Ellis, The Flames",Mr Soul of Jamaica,42,160266,False,0,rock steady
4wuu0v0TsGf22iYAgIcKlb,altered state of mind,alt-rock,Milmine,So Long And Thanks,39,226000,False,0,altered state of mind
4XSLXwwLskeFy1k6ec4tBg,altitude adjustment,alt-rock,Midland,On The Rocks,31,206040,False,1,altitude adjustment
6N19vudcjcPwsggs3EGgkN,m.s.s,alt-rock,Red,M.S.S,33,205531,False,1,m.s.s
1AmwIgy0WYLJJ5e24aCFTm,"ve kamleya (from ""rocky aur rani kii prem kahaani"")",alt-rock,"Pritam, Arijit Singh, Shreya Ghoshal, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya","Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",49,246988,False,0,"ve kamleya (from ""rocky aur rani kii prem kahaani"")"
5uspnRBvXxg7Y0PPfpwH6p,savior,alt-rock,Smile Empty Soul,SAVIOR,35,262425,False,3,savior
1Ag58Qks3r3p4sAiUdA5xb,rockstar,alt-rock,ALT BLK ERA,Rockstar,26,148557,False,1,rockstar
13gDxn2tYUGS0sawL4kzWp,philadelphia,alt-rock,alt-J,The Dream,33,218093,False,0,philadelphia
3WtldAA054sX3ZWCiFjX4O,ghostlove (1st movement),alt-rock,Uncle Morty and the Empty Forties,Ghostlove: An Alt-Rock Musical in 5 Parts,25,65387,False,1,ghostlove (1st movement)
3PsHpAptfclBD9jVWBKqb1,bane,alt-rock,alt-J,The Dream,29,310000,False,3,bane
61Adh3QebIXwos3HqbUri1,ghostlove (2nd movement),alt-rock,Uncle Morty and the Empty Forties,Ghostlove: An Alt-Rock Musical in 5 Parts,25,61672,False,1,ghostlove (2nd movement)
17PtEAxSnO1aFWiMukDMWk,alternative trouble,alt-rock,LUCKI,Alternative Trap,34,198060,True,0,alternative trouble
58qlWRmqnMIKBRu0OaiTQ0,ghostlove (3rd movement),alt-rock,Uncle Morty and the Empty Forties,Ghostlove: An Alt-Rock Musical in 5 Parts,25,75046,False,1,ghostlove (3rd movement)
3TY8GltNNtMpDS3YY6tJqo,"bloodflood, pt. ii",alt-rock,alt-J,This Is All Yours,30,319497,False,3,"bloodflood, pt. ii"
4iM7P0ApqrIAzJQzL9UFiC,ghostlogue,alt-rock,Uncle Morty and the Empty Forties,Ghostlove: An Alt-Rock Musical in 5 Parts,25,97338,False,1,ghostlogue
6LFZWSRtgzCXxNbQNOV8yz,chicago,alt-rock,alt-J,The Dream,30,235386,False,1,chicago
0kH190Vf9KRHfFOhZCaQxv,ghosterture,alt-rock,Uncle Morty and the Empty Forties,Ghostlove: An Alt-Rock Musical in 5 Parts,25,43839,False,1,ghosterture
3LvZJiw3K6loTGtfuSrLCM,losing my mind,alt-rock,alt-J,The Dream,24,282000,False,3,losing my mind
2UkEUyOLpOHIZn5hAfgRpK,rock that shit! - slowed down,alt-rock,"Anarchist Sanctuary, asteria",ROCK THAT SHIT! (Alternate Mixes),32,121658,True,1,rock that shit! - slowed down
